,"Variable:/:A:Value"
56.4000000000005,494.6
56.5000000000005,493.78
56.6000000000005,492.88
56.7000000000005,492.06
56.8000000000005,491.14
56.9000000000005,490.34
57.0000000000005,489.48
57.1000000000005,488.54
57.2000000000005,487.56
57.3000000000005,486.74
57.4000000000005,486
57.5000000000005,485.36
57.6000000000005,484.54
57.7000000000005,483.78
57.8000000000006,482.92
57.9000000000006,482.14
58.0000000000006,481.48
58.1000000000006,480.74
58.2000000000006,479.98
58.3000000000006,479.18
58.4000000000006,478.54
58.5000000000006,477.74
58.6000000000006,476.82
58.7000000000006,476.22
58.8000000000006,475.26
58.9000000000006,474.6
59.0000000000006,473.84
59.1000000000006,473.16
59.2000000000006,472.46
59.3000000000006,471.76
59.4000000000006,470.88
59.5000000000006,469.88
59.6000000000006,469.3
59.7000000000006,468.46
59.8000000000006,467.98
59.9000000000006,467.3
60.0000000000006,466.44
60.1000000000006,465.84
60.2000000000006,465.28
60.3000000000006,464.56
60.4000000000006,463.86
60.5000000000006,463.38
60.6000000000006,462.94
60.7000000000006,462.38
60.8000000000006,461.58
60.9000000000006,460.72
61.0000000000006,460.06
61.1000000000006,459.24
61.2000000000006,458.74
61.3000000000006,458.02
61.4000000000006,457.28
61.5000000000006,456.48
61.6000000000006,455.98
61.7000000000006,455.3
61.8000000000006,454.6
61.9000000000006,453.96
62.0000000000006,453.54
62.1000000000006,453.1
62.2000000000006,452.12
62.3000000000006,451.58
62.4000000000006,450.92
62.5000000000006,450.16
62.6000000000006,449.58
62.7000000000006,449.2
62.8000000000006,448.76
62.9000000000006,448.4
63.0000000000006,447.7
63.1000000000006,447.2
63.2000000000006,446.72
63.3000000000006,446.06
63.4000000000006,445.48
63.5000000000006,444.58
63.6000000000006,443.78
63.7000000000006,443.18
63.8000000000006,442.54
63.9000000000006,441.9
64.0000000000006,441.3
64.1000000000006,440.74
64.2000000000006,440.38
64.3000000000006,439.74
64.4000000000006,438.92
64.5000000000006,438.14
64.6000000000006,437.62
64.7000000000006,437.08
64.8000000000006,436.52
64.9000000000006,435.94
65.0000000000006,435.5
65.1000000000006,434.88
65.2000000000006,434.2
65.3000000000006,433.74
65.4000000000006,433.34
65.5000000000006,432.84
65.6000000000005,432.1
65.7000000000005,431.52
65.8000000000005,430.94
65.9000000000005,430.58
66.0000000000005,430.18
